RUN	computerdatabase.BasicSimulation	basicsimulation	1611145408205	 	3.5.0
USER	Scenario Name	START	1611145410332
REQUEST		request_1	1611145410367	1611145410479	OK	 
REQUEST		request_1 Redirect 1	1611145410490	1611145410588	OK	 
REQUEST		request_2	1611145417607	1611145417650	OK	 
REQUEST		request_3	1611145419655	1611145419712	OK	 
REQUEST		request_4	1611145422722	1611145422754	OK	 
REQUEST		request_4 Redirect 1	1611145422754	1611145422800	OK	 
REQUEST		request_5	1611145424812	1611145424867	OK	 
REQUEST		request_6	1611145425546	1611145425592	OK	 
REQUEST		request_7	1611145426228	1611145426268	OK	 
REQUEST		request_8	1611145427009	1611145427051	OK	 
REQUEST		request_9	1611145432063	1611145432110	OK	 
REQUEST		request_10	1611145433130	1611145433288	OK	 
REQUEST		request_10 Redirect 1	1611145433297	1611145433339	OK	 
USER	Scenario Name	END	1611145433342
